,net
2018-07-25,-0.00433545253084053
2018-07-26,0.006436684667519623
2018-07-27,-0.01672917222748091
2018-07-30,-0.003062893669073059
2018-07-31,0.002863408493775694
2018-08-01,0.003849501697114687
2018-08-02,0.01389622148106984
2018-08-03,-0.010432779313539418
2018-08-06,0.008943663669388735
2018-08-07,-0.0016130381830543362
2018-08-08,-0.003428799345147924
2018-08-09,0.002735024069621348
2018-08-10,0.018411541690674875
2018-08-13,0.005028974915753006
2018-08-14,-0.0005166939336641
2018-08-15,0.0067615229353478615
2018-08-16,0.0038295686166177297
2018-08-17,-0.0043198373360859845
2018-08-20,0.00043992274714295745
2018-08-21,0.00036771915710289045
2018-08-22,-0.0019983650794270598
2018-08-23,0.013891147102783512
2018-08-24,-0.007491407998950449
2018-08-27,-0.008484290731788233
2018-08-28,0.009031619829142842
2018-08-29,-0.0003789538767252326
2018-08-30,0.014443053618864244
2018-08-31,-0.0013325482401766208
2018-09-04,0.015107164805430253
2018-09-05,0.0004075615633306243
2018-09-06,-0.008062138191744764
2018-09-07,0.0007937329580376426
2018-09-10,0.005038602906654864
2018-09-11,0.008353022961707085
2018-09-12,-0.00870607431142309
2018-09-13,-0.0019371430348047967
2018-09-14,0.0005720308858278365
2018-09-17,-0.011051384351438211
2018-09-18,-0.0025898716650132945
2018-09-19,-0.006312368895466732
2018-09-20,-0.003822126000434773
2018-09-21,-0.0019259707834802886
2018-09-24,0.005171454021874525
2018-09-25,-0.005719815689328236
2018-09-26,-0.0011650211418217944
2018-09-27,0.002851922741481259
2018-09-28,0.005312937765302667
2018-10-01,0.001278353579930901
2018-10-02,-0.011244442547207186
2018-10-03,0.0032131811047301727
2018-10-04,-0.00021221111453356803
2018-10-05,-0.002615349160317961
2018-10-08,-0.0040867191500705774
2018-10-09,0.0046654772686401755
2018-10-10,-0.014582641407685585
2018-10-11,-0.022458294610507933
2018-10-12,0.0020597889348393564
2018-10-15,0.00039865522933297463
2018-10-16,0.003111449781574069
2018-10-17,0.003169714524975448
2018-10-18,0.0003263642767585953
2018-10-19,-0.002499498944357911
2018-10-22,-0.00125595776034325
2018-10-23,-0.008650463222912418
2018-10-24,0.00029960912454285953
2018-10-25,0.006419700006133112
2018-10-26,-0.007128182660429486
2018-10-29,0.0010901373041150228
2018-10-30,-0.0029028519649879126
2018-10-31,0.0030554499446089735
2018-11-01,-0.019458274722285177
2018-11-02,-0.006798704375822742
2018-11-05,0.007897916310297562
2018-11-06,0.0018901512307787091
2018-11-07,0.004937559450824273
2018-11-08,0.010127079553393096
2018-11-09,0.007659894000065878
2018-11-12,0.004945561287496499
2018-11-13,-0.010382449020715261
2018-11-14,0.01311172056646738
2018-11-15,-0.018712542548848896
